step,parameter_comb,equal allocation,sequential,diff,sign,comb,a_res_start,b_res_start,c_res_start,w_a,w_b,w_c,f_a,f_b,f_c
3650,235,0.06,0,-0.06,1,235,3,1,10,4.948752316744277e-4,2.856760051678966e-4,1.8062965954400784e-5,0.5949494077234995,0.993039176604012,0.9970606040596032
3650,360,0.06,0,-0.06,1,360,6,9,2,1.4314176555602155e-4,9.40667093434291e-4,1.2945600647034015e-4,0.6081279292196269,0.9899906123512192,0.6777233555977
3650,68,0.05,0,-0.05,1,68,1,3,5,2.26804750540821e-7,3.255119217504401e-5,8.309194090513825e-4,0.7946275527368998,0.5666295701757772,0.994909037447418
3650,384,0.05,0,-0.05,1,384,8,4,6,1.997148313586976e-7,7.317238659023549e-4,2.3349484963535817e-5,0.6179052518272073,0.9959720781316282,0.9915143911979394
3650,328,0.04,0,-0.04,1,328,5,5,7,1.2575565467366951e-4,2.8981923963519274e-6,5.841617407950224e-5,0.5490335994825,0.7768188916009385,0.9996122423560592
3650,24,0.03,0,-0.03,1,24,8,3,6,1.394985723602077e-7,5.16740552468435e-4,1.5510282924743128e-4,0.7444781282386975,0.9374249312811298,0.9952163035206032
3650,106,0.03,0,-0.03,1,106,2,10,5,5.431177034115106e-6,4.184243325176491e-6,4.7492951286664105e-4,0.7070905441275099,0.9999100240275728,0.919038903028122
3650,124,0.02,0,-0.02,1,124,4,1,9,3.521964036405059e-7,2.2370050804163604e-4,4.614935316847854e-4,0.5352622861245181,0.5764524357677437,0.984078091056552
3650,355,0.02,0,-0.02,1,355,8,7,4,2.158379289017867e-6,4.40424945547101e-5,3.986152973962538e-7,0.6173429565539118,0.9901030943222576,0.6491756279955152
3650,375,0.02,0,-0.02,1,375,9,10,2,1.7843273722666559e-7,1.623444502468943e-5,3.6820513973862386e-4,0.5756574129794025,0.9007896204158896,0.9982282527121716
3650,380,0.02,0,-0.02,1,380,8,4,6,7.994302580795043e-7,4.030324280819152e-4,4.3973904196173576e-4,0.7113980683492264,0.9984150986056776,0.7827417887391057
3650,382,0.02,0,-0.02,1,382,1,4,6,4.092930971424043e-5,2.528167118165324e-7,8.666710773453657e-7,0.7004460989380022,0.997367783227237,0.6880714379893615
3650,413,0.02,0,-0.02,1,413,8,1,9,1.2923827187265458e-5,4.362576175222545e-7,6.129704167963298e-7,0.5788889428335242,0.7100518352865475,0.996306691280217
3650,583,0.02,0,-0.02,1,583,4,9,3,3.571356437629985e-7,1.138266549941183e-5,4.139973604966677e-4,0.6876796716812532,0.7371531434534118,0.9925850332691336
3650,875,0.02,0,-0.02,1,875,5,3,7,1.847060230936387e-7,1.1136658954770881e-7,2.300727712585473e-6,0.6370752721976023,0.8742217354392633,0.9975497242315904
3650,937,0.02,0,-0.02,1,937,8,5,5,5.615938079649502e-5,1.5569830999214847e-4,1.7437398246644665e-4,0.7761616571466439,0.838300020713592,0.9793661162072094
3650,79,0.01,0,-0.01,1,79,7,5,1,1.1185427860399685e-7,2.0857597146821296e-4,5.3881829721773135e-5,0.5834057252025232,0.9885091213118284,0.650687737103668
3650,96,0.01,0,-0.01,1,96,3,9,6,1.0835542380009304e-4,9.146892594381386e-5,1.3486235359709622e-6,0.7991665613085497,0.9495695875763196,0.9868932208087062
3650,164,0.01,0,-0.01,1,164,8,6,1,1.926638763449299e-7,2.886024976785879e-7,9.10564133316465e-6,0.5626803798928158,0.9922742609686684,0.8529979565495159
3650,456,0.01,0,-0.01,1,456,0,8,3,7.011049809332094e-4,6.1553046041477e-6,6.983170224058917e-5,0.5529082043858944,0.9867085044673876,0.8307342848229455
3650,591,0.01,0,-0.01,1,591,1,1,8,4.3473788953023956e-7,5.750721495341336e-6,1.051145257632709e-7,0.7651522005544975,0.7515973083324498,0.9910850791592384
3650,830,0.01,0,-0.01,1,830,4,0,9,2.3947973181265553e-5,1.9300575461761743e-6,2.277806382282104e-6,0.8143822419234784,0.7647929445863701,0.982471039087628
